epoch,strategy,arm,current reward,cumulative reward,optimal
66,Epsilon Greedy,3,180.48321277840947,10241.76162288295,False
67,Epsilon Greedy,3,180.7798487316636,10422.541471614613,False
68,Epsilon Greedy,3,183.32608369965521,10605.86755531427,False
69,Epsilon Greedy,3,180.3087271400846,10786.176282454355,False
70,Epsilon Greedy,3,180.94980467898918,10967.126087133343,False
71,Epsilon Greedy,3,180.84979759722208,11147.975884730566,False
72,Epsilon Greedy,3,181.37426428214263,11329.35014901271,False
73,Epsilon Greedy,3,180.1948129207952,11509.544961933505,False
74,Epsilon Greedy,3,181.1392846726302,11690.684246606135,False
75,Epsilon Greedy,3,180.70861605140541,11871.39286265754,False
76,Epsilon Greedy,3,180.72010549491537,12052.112968152454,False
77,Epsilon Greedy,5,170.24083717519247,12222.353805327646,False
78,Epsilon Greedy,2,53.22785950131326,12275.58166482896,False
79,Epsilon Greedy,3,181.16926141664945,12456.75092624561,False
80,Epsilon Greedy,3,180.45112910192444,12637.202055347534,False
81,Epsilon Greedy,3,181.11033398848002,12818.312389336013,False
82,Epsilon Greedy,3,181.7943926052371,13000.106781941251,False
83,Epsilon Greedy,0,60.64494160322971,13060.751723544481,False
84,Epsilon Greedy,3,181.0510918929939,13241.802815437475,False
85,Epsilon Greedy,3,179.57139778211007,13421.374213219586,False
86,Epsilon Greedy,3,181.19457024843763,13602.568783468023,False
87,Epsilon Greedy,3,178.56270840189654,13781.131491869919,False
88,Epsilon Greedy,3,179.97904268571904,13961.110534555639,False
89,Epsilon Greedy,3,180.64035755590885,14141.750892111548,False
90,Epsilon Greedy,2,51.82736176927582,14193.578253880823,False
91,Epsilon Greedy,3,179.6702684994848,14373.248522380309,False
92,Epsilon Greedy,3,179.1122939464202,14552.360816326729,False
93,Epsilon Greedy,3,178.84906183916755,14731.209878165897,False
94,Epsilon Greedy,3,181.6139142002746,14912.82379236617,False
95,Epsilon Greedy,3,181.02057299229705,15093.844365358467,False
96,Epsilon Greedy,3,179.42821807731065,15273.272583435777,False
97,Epsilon Greedy,3,181.41044495216843,15454.683028387946,False
98,Epsilon Greedy,3,179.94693191848606,15634.629960306433,False
99,Epsilon Greedy,3,180.0815881887536,15814.711548495186,False
100,Epsilon Greedy,3,182.79736792180188,15997.508916416988,False
101,Epsilon Greedy,7,61.16446817895712,16058.673384595944,False
102,Epsilon Greedy,3,179.9371171229272,16238.610501718871,False
103,Epsilon Greedy,3,180.73709358478993,16419.34759530366,False
104,Epsilon Greedy,3,182.13604853858436,16601.483643842246,False
105,Epsilon Greedy,0,61.989987461563736,16663.47363130381,False
106,Epsilon Greedy,3,180.6205415353782,16844.094172839188,False
107,Epsilon Greedy,3,178.33836434113502,17022.432537180324,False
108,Epsilon Greedy,3,181.6465790262653,17204.07911620659,False
109,Epsilon Greedy,4,108.63420396672753,17312.71332017332,False
110,Epsilon Greedy,3,180.94757666661644,17493.660896839938,False
